Variable;Description;Subcategory;Type;Values;;Mutability;Data Source
IN_LABORATORIO_CIENCIAS;Dependências físicas existentes e utilizadas na escola - Laboratório de ciências;Pedagogical spaces;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_LABORATORIO_INFORMATICA;Dependências físicas existentes e utilizadas na escola - Laboratório de informática;Pedagogical spaces;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_LABORATORIO_EDUC_PROF;Dependências físicas existentes e utilizadas na escola - Laboratório específico para a Educação Profissional;Pedagogical spaces;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_QUADRA_ESPORTES;Dependências físicas existentes e utilizadas na escola - Quadra de esportes coberta ou descoberta;Pedagogical spaces;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_AUDITORIO;Dependências físicas existentes e utilizadas na escola - Auditório;Pedagogical spaces;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_REFEITORIO;Dependências físicas existentes e utilizadas na escola - Refeitório;Pedagogical spaces;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_SALA_PROFESSOR;Dependências físicas existentes e utilizadas na escola - Sala de professores;Pedagogical spaces;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_SALA_DIRETORIA;Dependências físicas existentes e utilizadas na escola - Sala de Diretoria;Pedagogical spaces;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_SALA_ATENDIMENTO_ESPECIAL;Dependências físicas existentes e utilizadas na escola - Sala de Recursos Multifuncionais para Atendimento Educacional Especializado (AEE);Pedagogical spaces;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_SALA_MULTIUSO;Dependências físicas existentes e utilizadas na escola - Sala multiuso (música, dança e artes);Pedagogical spaces;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_SALA_ATELIE_ARTES;Dependências físicas existentes e utilizadas na escola - Sala/ateliê de artes;Pedagogical spaces;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_SALA_MUSICA_CORAL;Dependências físicas existentes e utilizadas na escola -  Sala de música/coral;Pedagogical spaces;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_PATIO_COBERTO;Dependências físicas existentes e utilizadas na escola - Pátio coberto;Pedagogical spaces;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_PATIO_DESCOBERTO;Dependências físicas existentes e utilizadas na escola - Pátio descoberto;Pedagogical spaces;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_SECRETARIA;Dependências físicas existentes e utilizadas na escola - Sala de Secretaria;Pedagogical spaces;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_AREA_VERDE;Dependências físicas existentes e utilizadas na escola - Área de vegetação ou gramado;Pedagogical spaces;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_AREA_PLANTIO;Dependências físicas existentes e utilizadas na escola - Área de horta, plantio e/ou produção agricola;Pedagogical spaces;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_DORMITORIO_PROFESSOR;Dependências físicas existentes e utilizadas na escola - Dormitório de professor(a);Pedagogical spaces;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
QT_SALAS_UTILIZADAS;Número de salas de aula utilizadas na escola (dentro e fora do prédio);Classrooms;Numeric (count);≥0;≥0;Structural;School Census 2024
QT_SALAS_UTILIZA_CLIMATIZADAS;Condições das salas de aula utilizadas na escola (dentro e fora do prédio escolar) - Número de salas de aula climatizadas;Classrooms;Numeric (count);≥0;≥0;Structural;School Census 2024
QT_SALAS_UTILIZADAS_DENTRO;Número de salas de aula utilizadas na escola - Dentro do prédio;Classrooms;Numeric (count);≥0;≥0;Structural;School Census 2024
QT_SALAS_UTILIZADAS_FORA;Número de salas de aula utilizadas na escola - Fora do prédio;Classrooms;Numeric (count);≥0;≥0;Structural;School Census 2024
QT_SALAS_UTILIZADAS_ACESSIVEIS;Condições das salas de aula utilizadas na escola (dentro e fora do prédio escolar) - Número de salas de aula com acessibilidade para pessoas com deficiência ou mobilidade reduzida;Classrooms;Numeric (count);≥0;≥0;Structural;School Census 2024
IN_ACESSIBILIDADE_RAMPAS;Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Rampas;Structural accessibility;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_ACESSIBILIDADE_CORRIMAO;Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Corrimão e guarda corpos;Structural accessibility;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_ACESSIBILIDADE_PISOS_TATEIS;Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Pisos táteis;Structural accessibility;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_ACESSIBILIDADE_VAO_LIVRE;Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Portas com vão livre de, no mínimo, 80 cm;Structural accessibility;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_BANHEIRO_PNE;Dependências físicas existentes e utilizadas na escola - Banheiro acessível, adequado ao uso de pessoas com deficiência ou mobilidade reduzida;Structural accessibility;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_BANHEIRO_CHUVEIRO;Dependências físicas existentes e utilizadas na escola - Banheiro ou vestiário com chuveiro;Structural accessibility;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_DIURNO;Turno - Diurno - Maior parte das atividades da turma são realizadas no período entre 6h e 17:59h;Timetable & provision;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_NOTURNO;Turno - Noturno - Maior parte das atividades da turma são realizadas entre 18h e 5:59h;Timetable & provision;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
QT_TUR_MED;Número de Turmas de Ensino Médio;Timetable & provision;Numeric (count);≥0;≥0;Structural;School Census 2024
QT_MAT_MED_INT;Número de Matrículas do Ensino Médio - Tempo Integral;Timetable & provision;Numeric (count);≥0;≥0;Structural;School Census 2024
HAD_MED;Mean daily instruction hours (EM);Timetable & provision;Continuous;Hours/day;Hours/day;Structural;INEP Indicators 2024
TP_PROPOSTA_PEDAGOGICA;O projeto político pedagógico ou a proposta pedagógica da escola (conforme art. 12 da LDB) foi atualizado nos últimos 12 meses até a data de referência;Pedagogical proposal;Categorical;"0 - Não; 1 - Yes; 2 - A escola não possui projeto político pedagógico/proposta pedagógica; 9 - Não informado";"0 - Não; 1 - Sim; 2 - A escola não possui projeto político pedagógico/proposta pedagógica; 9 - Não informado";Structural;School Census 2024
